2014-12-02	1.275	1.275	0.47
2014-12-03	1.282	1.282	0.55
2014-12-04	1.334	1.334	4.06
2014-12-05	1.313	1.313	-1.57
2014-12-08	1.258	1.258	-4.19
2014-12-09	1.173	1.173	-6.76
2014-12-10	1.205	1.205	2.73
2014-12-11	1.197	1.197	-0.66
2014-12-12	1.258	1.258	5.1
2014-12-15	1.336	1.336	6.2
2014-12-16	1.346	1.346	0.75
2014-12-17	1.356	1.356	0.74
2014-12-18	1.347	1.347	-0.66
2014-12-19	1.321	1.321	-1.93
2014-12-22	1.228	1.228	-7.04
2014-12-23	1.189	1.189	-3.18
2014-12-24	1.201	1.201	1.01
2014-12-25	1.226	1.226	2.08
2014-12-26	1.227	1.227	0.08
2014-12-29	1.17	1.17	-4.65
2014-12-30	1.15	1.15	-1.71
2014-12-31	1.161	1.161	0.96
2015-01-05	1.15	1.15	-0.95
2015-01-06	1.189	1.189	3.39
2015-01-07	1.193	1.193	0.34
2015-01-08	1.202	1.202	0.75
2015-01-09	1.213	1.213	0.92
2015-01-12	1.247	1.247	2.8
2015-01-13	1.277	1.277	2.41
2015-01-14	1.273	1.273	-0.31
2015-01-15	1.282	1.282	0.71
2015-01-16	1.349	1.349	5.23
2015-01-19	1.319	1.319	-2.22
2015-01-20	1.38	1.38	4.62
2015-01-21	1.405	1.405	1.81
2015-01-22	1.407	1.407	0.14
2015-01-23	1.352	1.352	-3.91
2015-01-26	1.406	1.406	3.99
2015-01-27	1.417	1.417	0.78
2015-01-28	1.396	1.396	-1.48
2015-01-29	1.374	1.374	-1.58
2015-01-30	1.351	1.351	-1.67
2015-02-02	1.393	1.393	3.11
2015-02-03	1.467	1.467	5.31
2015-02-04	1.482	1.482	1.02
2015-02-05	1.52	1.52	2.56
2015-02-06	1.454	1.454	-4.34
2015-02-09	1.45	1.45	-0.28
2015-02-10	1.501	1.501	3.52
2015-02-11	1.545	1.545	2.93
2015-02-12	1.547	1.547	0.13
2015-02-13	1.57	1.57	1.49
2015-02-16	1.632	1.632	3.95
2015-02-17	1.642	1.642	0.61
2015-02-25	1.588	1.588	-3.29
2015-02-26	1.595	1.595	0.44
2015-02-27	1.642	1.642	2.95
2015-03-02	1.691	1.691	2.98
2015-03-03	1.661	1.661	-1.77
2015-03-04	1.7	1.7	2.35
2015-03-05	1.707	1.707	0.41
2015-03-06	1.658	1.658	-2.87
2015-03-09	1.704	1.704	2.77
2015-03-10	1.74	1.74	2.11
2015-03-11	1.737	1.737	-0.17
2015-03-12	1.726	1.726	-0.63
2015-03-13	1.796	1.796	4.06
2015-03-16	1.884	1.884	4.9
2015-03-17	1.881	1.881	-0.16
2015-03-18	1.909	1.909	1.49
2015-03-19	1.911	1.911	0.1
2015-03-20	1.985	1.985	3.87
2015-03-23	2.08	2.08	4.79
2015-03-24	2.167	2.167	4.18
2015-03-25	2.188	2.188	0.97
2015-03-26	2.093	2.093	-4.34
